f_target,seed,beta,seed_fraction,unserved_fraction,detonated,run_id
0.6,1047,0.3,0.05,1.0,True,f6df4de5
0.6,1048,0.3,0.05,0.4528957528957529,True,c7b166dc
0.6,1049,0.3,0.05,0.7679536679536679,True,cec9a13f
0.6,1050,0.3,0.05,0.07181467181467183,True,47693e55
0.6,1051,0.3,0.05,1.0,True,8d5285ac
0.6,1052,0.3,0.05,1.0,True,d0435071
0.6,1053,0.3,0.05,0.43552123552123545,True,9b43164f
0.6,1054,0.3,0.05,1.0,True,0951a7a8
0.6,1055,0.3,0.05,1.0,True,43a58551
0.6,1056,0.3,0.05,1.0,True,8f0e7e5a
0.6,1057,0.3,0.05,1.0,True,256ec293
0.6,1058,0.3,0.05,0.8200772200772201,True,ef76d982
0.6,1059,0.3,0.05,1.0,True,2cb33cc5
0.7,1000,0.3,0.05,1.0,True,60c0c78d
0.7,1001,0.3,0.05,0.4876447876447877,True,eed2ac8e
0.7,1002,0.3,0.05,1.0,True,219d24e0
0.7,1003,0.3,0.05,1.0,True,ad8299c9
0.7,1004,0.3,0.05,0.8436293436293436,True,68ee1dab
0.7,1005,0.3,0.05,0.8517374517374517,True,76905d7d
0.7,1006,0.3,0.05,1.0,True,db7e48d8
0.7,1007,0.3,0.05,1.0,True,f90180f3
0.7,1008,0.3,0.05,0.8903474903474904,True,d5cd5a09
0.7,1009,0.3,0.05,1.0,True,78e7eca5
0.7,1010,0.3,0.05,0.8200772200772201,True,5d1cdd5a
0.7,1011,0.3,0.05,1.0,True,86570138
0.7,1012,0.3,0.05,0.8436293436293436,True,8365767e
0.7,1013,0.3,0.05,1.0,True,a3e55dc1
0.7,1014,0.3,0.05,1.0,True,5666e396
0.7,1015,0.3,0.05,1.0,True,809e8a13
0.7,1016,0.3,0.05,1.0,True,db03f6ab
0.7,1017,0.3,0.05,1.0,True,293384e5
0.7,1018,0.3,0.05,1.0,True,562c5ccb
0.7,1019,0.3,0.05,1.0,True,ec448575
0.7,1020,0.3,0.05,1.0,True,55dc71c2
0.7,1021,0.3,0.05,1.0,True,3ac36450
0.7,1022,0.3,0.05,1.0,True,f20f3a0e
0.7,1023,0.3,0.05,0.8200772200772201,True,13328eda
0.7,1024,0.3,0.05,1.0,True,e57d47be
0.7,1025,0.3,0.05,1.0,True,aa28e6c8
0.7,1026,0.3,0.05,1.0,True,aa89aa8f
0.7,1027,0.3,0.05,1.0,True,e11b40c6
0.7,1028,0.3,0.05,0.8301158301158301,True,850f0be6
0.7,1029,0.3,0.05,1.0,True,e54df8a5
0.7,1030,0.3,0.05,1.0,True,740c71c9
0.7,1031,0.3,0.05,0.4876447876447877,True,2364313a
0.7,1032,0.3,0.05,0.4876447876447877,True,60849804
0.7,1033,0.3,0.05,0.8200772200772201,True,30ffc545
0.7,1034,0.3,0.05,1.0,True,0b077a05
0.7,1035,0.3,0.05,1.0,True,c2c5c9b1
0.7,1036,0.3,0.05,0.8200772200772201,True,89f857fe
0.7,1037,0.3,0.05,1.0,True,b27abe8e
0.7,1038,0.3,0.05,1.0,True,276f2e7f
0.7,1039,0.3,0.05,0.8200772200772201,True,27f7c7de
0.7,1040,0.3,0.05,0.4876447876447877,True,478a8b5f
0.7,1041,0.3,0.05,0.8436293436293436,True,dac26809
0.7,1042,0.3,0.05,1.0,True,17a45f41
0.7,1043,0.3,0.05,1.0,True,46c88b1c
0.7,1044,0.3,0.05,0.4876447876447877,True,617cd139
0.7,1045,0.3,0.05,1.0,True,4dbb4edc
0.7,1046,0.3,0.05,0.8903474903474904,True,488bec35
0.7,1047,0.3,0.05,1.0,True,4a9781bd
0.7,1048,0.3,0.05,0.8436293436293436,True,f30accbb
0.7,1049,0.3,0.05,0.8200772200772201,True,7fee1d83
0.7,1050,0.3,0.05,1.0,True,1503f3f8
0.7,1051,0.3,0.05,1.0,True,8bcca4ff
0.7,1052,0.3,0.05,1.0,True,acd1e394
0.7,1053,0.3,0.05,0.4876447876447877,True,f7e54d9c
0.7,1054,0.3,0.05,1.0,True,ad9fe9a7
0.7,1055,0.3,0.05,1.0,True,b77ff8af
0.7,1056,0.3,0.05,1.0,True,99ec9df5
0.7,1057,0.3,0.05,1.0,True,5f4ec4ac
0.7,1058,0.3,0.05,0.8436293436293436,True,c0c5715e
0.7,1059,0.3,0.05,1.0,True,563d46f0
0.8,1000,0.3,0.05,1.0,True,d7f6c50e
0.8,1001,0.3,0.05,1.0,True,15ef494e
0.8,1002,0.3,0.05,1.0,True,6393cd19
0.8,1003,0.3,0.05,1.0,True,17909261
0.8,1004,0.3,0.05,0.8436293436293436,True,e5118777
